run_time,current_driver_player_number,driver_changed_this_frame,driver_change_count_total,warning_active,driver_input_this_frame,warning_reaction_time,inputs_per_second,player1_collision_counter,player2_collision_counter,player3_collision_counter,player4_collision_counter,collision_count_total
7.5527,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.5743,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.5975,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.6206,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.6447,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.6656,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.6928,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.7093,1,0,0,0,1,-1.0000,1.0000,1,0,0,0,1
7.7336,1,0,0,0,1,-1.0000,2.0000,1,0,0,0,1
7.7546,1,0,0,0,1,-1.0000,3.0000,1,0,0,0,1
7.7785,1,0,0,0,0,-1.0000,3.0000,1,0,0,0,1
7.8034,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
7.8232,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
7.8449,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
7.8698,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
7.8912,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
7.9129,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
7.9551,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
7.9675,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
7.9844,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
8.0059,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
8.0291,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
8.0501,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
8.0712,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
8.0934,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
8.1155,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
8.1376,1,0,0,0,0,-1.0000,3.0000,1,0,0,0,1
8.1583,1,0,0,0,0,-1.0000,3.0000,1,0,0,0,1
8.1790,1,0,0,0,0,-1.0000,3.0000,1,0,0,0,1
8.2000,1,0,0,0,0,-1.0000,3.0000,1,0,0,0,1
8.2211,1,0,0,0,0,-1.0000,3.0000,1,0,0,0,1
8.2426,1,0,0,1,0,-1.0000,3.0000,1,0,0,0,1
8.2644,1,0,0,1,1,0.0218,4.0000,1,0,0,0,1
8.2846,1,0,0,1,0,0.0218,4.0000,1,0,0,0,1
8.3060,1,0,0,1,0,0.0218,4.0000,1,0,0,0,1
8.3274,1,0,0,1,0,0.0218,4.0000,1,0,0,0,1
8.3675,1,0,0,1,0,0.0218,4.0000,1,0,0,0,1
8.3785,1,0,0,1,0,0.0218,4.0000,1,0,0,0,1
8.3949,1,0,0,1,0,0.0218,4.0000,1,0,0,0,1
8.4172,1,0,0,1,0,0.0218,4.0000,1,0,0,0,1
8.4392,1,0,0,1,0,0.0218,4.0000,1,0,0,0,1
8.4608,1,0,0,1,0,0.0218,4.0000,1,0,0,0,1
8.4827,1,0,0,1,0,0.0218,4.0000,1,0,0,0,1
