run_time;current_driver_player_number;driver_changed_this_frame;driver_change_count_total;curve_active;warning_active;driver_input_this_frame;inputs_per_second;player1_collision_counter;player2_collision_counter;player3_collision_counter;player4_collision_counter;collision_count_total
35.05639;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.08006;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.10234;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.12757;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.15034;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.1734;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.19591;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.21877;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.24126;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.26579;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.28775;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.31104;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.33397;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.35591;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.37971;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.40293;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.42559;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.44828;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.47084;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.49405;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.5169;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.53902;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.56133;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.58442;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.60667;1;0;0;False;0;0;0.0000;1;0;0;0;1
35.64382;1;0;0;False;0;0;0.0000;1;0;0;0;1
35.66648;1;0;0;False;0;0;0.0000;1;0;0;0;1
35.68384;1;0;0;False;0;0;0.0000;1;0;0;0;1
35.70081;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.72503;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.746;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.77013;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.79111;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.81661;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.8421;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.86533;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.88794;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.90965;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.93454;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.95703;1;0;0;False;1;0;0.0000;1;0;0;0;1
35.98078;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.0043;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.02627;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.04876;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.07541;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.09758;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.11669;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.15085;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.17321;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.19775;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.22551;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.24725;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.27058;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.2933;1;0;0;False;1;0;0.0000;1;0;0;0;1
36.3157;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.33661;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.3599;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.38137;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.40529;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.42953;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.45357;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.47579;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.49823;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.51926;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.54239;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.56799;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.59402;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.61367;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.63631;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.65846;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.68068;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.70427;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.72501;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.74803;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.77139;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.79846;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.81947;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.84571;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.8724;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.89023;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.91236;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.93614;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.95666;1;0;0;False;0;0;0.0000;2;0;0;0;2
36.97913;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.00108;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.0226;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.04462;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.06886;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.09196;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.11417;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.13516;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.15712;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.18155;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.20148;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.22394;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.24776;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.26888;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.2914;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.31399;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.33645;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.35606;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.37659;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.40223;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.42539;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.44762;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.46819;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.49252;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.51542;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.53666;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.56035;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.58349;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.61049;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.62815;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.65042;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.67205;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.69354;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.71688;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.73656;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.75876;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.77979;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.80105;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.82238;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.84258;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.86626;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.88695;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.90974;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.93268;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.95465;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.97599;1;0;0;False;0;0;0.0000;2;0;0;0;2
37.99791;1;0;0;False;0;0;0.0000;2;0;0;0;2
38.01973;1;0;0;False;0;0;0.0000;2;0;0;0;2
38.04029;1;0;0;False;0;0;0.0000;2;0;0;0;2
38.06326;1;0;0;False;0;0;0.0000;2;0;0;0;2
38.0816;1;0;0;False;0;0;0.0000;2;0;0;0;2
38.10566;1;0;0;False;0;0;0.0000;2;0;0;0;2
38.12561;1;0;0;False;0;0;0.0000;2;0;0;0;2
38.14726;1;0;0;False;0;0;0.0000;2;0;0;0;2
38.1692;1;0;0;False;0;0;0.0000;2;0;0;0;2
38.19738;1;0;0;False;0;0;0.0000;2;0;0;0;2
38.21325;1;0;0;False;0;0;0.0000;2;0;0;0;2
